N	Number	IDs	STRAIN	CULTURE_COLLECTION	ISOLATE	GENOTYPE	PLASMID	METAGENOME?	COMPLETENESS_ESTIMATED	CONTAMINATION_ESTIMATED	COLLECTED_BY	COLLECTION_DATE	COUNTRY (mixed up)	LAT_LON	HOST	HOST_SEX	HOST_AGE	ISOLATION_SOURCE	HOST_DISEASE	HOST_DISEASE_OUTCOME	ANTIBIOTICS	Bio Project	Pubmed	Length (T)	Complete?	Coverage	Seq Method	GCpercent	Length	Number of sequences	COUNTRY	CITY(or similar)	REGION/STATE	HOSPITAL	Comentario	Pub. Year	Proteins_Prokka	Isolation source2	ISOLATION_SOURCE_RECOD	HOST_DISEASE_RECOD	Isol Source 3	Isol Source 4	NEW_HOSPITAL	whyDeleted	whyDeleted2	Group	CRISPR_cluster	CRISPR_arrays
1917	ab01917	GCA_002082685.1_ASM208268v1	15A34								KARMS	2014	South Korea		Homo sapiens			Pulmonary				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA380857		3866657	YES	399	PacBio	38.9534654925835	3938733	2	South Korea						3707	pulmonary	Respiratorio	Respiratorio	Respiratory	Respiratory airways		A. baumannii	A. baumannii	group2		1
1918	ab01918	GCA_002082705.1_ASM208270v1	15A5								KARMS	2013	South Korea		Homo sapiens			Pulmonary				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA380857		3966348	YES	446	PacBio	38.9340694592927	4049307	3	South Korea						3838	pus	Respiratorio	Respiratorio	Respiratory	Respiratory airways		A. baumannii	A. baumannii	group2		1
1919	ab01919	GCA_002082725.1_ASM208272v1	USA2								KARMS	2013	South Korea:Seoul		Homo sapiens			urine				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA380857		3913358	YES	363	PacBio	38.8926017886954	3987599	2	South Korea	Seoul					3735	urine	Urinario	ITU	Urinary	Urinary tract		A. baumannii	A. baumannii	group2		0
1920	ab01920	GCA_002082745.1_ASM208274v1	SSA6								KARMS	2013	South Korea:Seoul		Homo sapiens			Endotracheal aspirate				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA380857		3884414	YES	475	PacBio	39.0436498272326	3884414	1	South Korea	Seoul					3605	pulmonary	Respiratorio	Respiratorio	Respiratory	Respiratory airways		A. baumannii	A. baumannii	group2		0
1921	ab01921	GCA_002082785.1_ASM208278v1	HWBA8								KARMS	2013	South Korea:Busan		Homo sapiens			sputum				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA380857		4077713	YES	284	PacBio	39.0993578876209	4273551	2	South Korea	Busan					4022	sputum	Respiratorio	Respiratorio	Respiratory	Respiratory airways		A. baumannii	A. baumannii	group1	csy4(cas6f);csy3(cas7);csy2(cas5);BMY_2099(cas8f);cas3(cas2_3);cas1	2
1922	ab01922	GCA_002082805.1_ASM208280v1	WKA02								KARMS	2013	South Korea:Jeonju		Homo sapiens			sputum				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA380857		3870945	YES	360	PacBio	38.9467946457519	3870945	1	South Korea	Jeonju					3629	sputum	Respiratorio	Respiratorio	Respiratory	Respiratory airways		A. baumannii	A. baumannii	group1	t4544(cas3)	3
1923	ab01923	GCA_002082825.1_ASM208282v1	USA15								KARMS	2013	South Korea:Seoul		Homo sapiens			sputum				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA380857		3930178	YES	276	PacBio	39.0310834436521	4028479	2	South Korea	Seoul					3800	sputum	Respiratorio	Respiratorio	Respiratory	Respiratory airways		A. baumannii	A. baumannii	group1	csy4(cas6f);csy3(cas7);csy2(cas5);BMY_2099(cas8f);cas3(cas2_3);cas1	4
1924	ab01924	GCA_002082845.1_ASM208284v1	SAA14								KARMS	2013	South Korea:Seoul		Homo sapiens			blood				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA380857		3972565	YES	456	PacBio	39.0566548313243	3972565	1	South Korea	Seoul					3729	blood	Bacteriemia	Bacteriemia	Bacteremia	Blood		A. baumannii	A. baumannii	group2		1
1925	ab01925	GCA_002082865.1_ASM208286v1	SSA12								KARMS	2013	South Korea:Seoul		Homo sapiens			blood				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA380857		3982722	YES	426	PacBio	38.9582691632085	4064716	3	South Korea	Seoul					3865	blood	Bacteriemia	Bacteriemia	Bacteremia	Blood		A. baumannii	A. baumannii	group2		1
1926	ab01926	GCA_002082885.1_ASM208288v1	SSMA17								KARMS	2013	South Korea:Seoul		Homo sapiens			Bronchial washing fluid				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA380857		3932204	YES	423	PacBio	38.9669159472725	4023177	2	South Korea	Seoul					3814	pulmonary	Respiratorio	Respiratorio	Respiratory	Respiratory airways		A. baumannii	A. baumannii	group2		0
1927	ab01927	GCA_002085505.1_ASM208550v1	AB1845								Institute of Antibiotics, Huashan Hospital affiliated to Fudan University	2009	China:Shanghai	31.22 N 121.48 E	Homo sapiens			sputum	hospital-acquired pneumonia			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA316800	https://www.ncbi.nlm.nih.gov/pubmed/?term=27594850	1309	NO		Illumina HiSeq	38.9384908360746	4000851	132	China	Shanghai					3778	sputum	Respiratorio	Respiratorio	Respiratory	Respiratory airways	Huashan Hospital 	A. baumannii	A. baumannii	group2	cas3(cas2_3)	1
1928	ab01928	GCA_002093815.1_ASM209381v1	ZJ06-200P5-1								Yunsong Yu	2012	China:Zhejiang	30.256769 N 120.201999 E	Homo sapiens							https://www.ncbi.nlm.nih.gov/bioproject/PRJNA341912	https://www.ncbi.nlm.nih.gov/pubmed/?term=28275586	130970	NO	300	Illumina Hiseq 2000	38.9719934650494	3965753	146	China		Zhejiang				3739		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group2		2
1929	ab01929	GCA_002116575.1_ASM211657v1	2012046				p2012046				Zhou Yong	2012	China:Guangzhou		Homo sapiens				Liver Abscess			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA383256		8757	NO		Illumina HiSeq 4000	38.9680800037677	3800721	77	China	Guangzhou					3528		Desconocido	Hepatobiliar	Abscess	Others		A. baumannii	A. baumannii	group2		1
1930	ab01930	GCA_002116925.1_ASM211692v1	ab736								USAMRIID	2015	USA		Homo sapiens				Bacteremia			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA317553		3980886	YES		PacBio	39.1607911438005	3990425	2	USA						3713		Desconocido	Bacteriemia	Bacteremia	Blood		A. baumannii	A. baumannii	group1	cas3(cas2_3);unknown4127;unknown1336;csy2(cas5);unknown758(cas7);csy4(cas6f);cas1	5
1931	ab01931	GCA_002119265.1_ASM211926v1	71								Hospital Universitario La Paz	2010	Spain:Madrid	40.480549742407064 N 3.68685320019722 W	Homo sapiens			blood	Bacteremia			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA339377	https://www.ncbi.nlm.nih.gov/pubmed/?term=28438568	6078	NO		Illumina HiSeq	39.0183175655397	3951726	57	Spain	Madrid					3745	blood	Bacteriemia	Bacteriemia	Bacteremia	Blood	Hospital Universitario La Paz	A. baumannii	A. baumannii	group1	cas1;cas3(cas2_3);BMY_2099(cas8f);csy2(cas5);csy3(cas7);csy4(cas6f)	4
1932	ab01932	GCA_002119275.1_ASM211927v1	80								Hospital Universitario La Paz	2008	Spain:Madrid	40.480549742407064 N 3.68685320019722 W	Homo sapiens			cerebrospinal fluid	Paraventricular brain haemorrhage			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA339425	https://www.ncbi.nlm.nih.gov/pubmed/?term=28438568	163979	NO		Illumina HiSeq	38.9708325424012	3777189	54	Spain	Madrid					3581	cerebrospinal fluid	Infección SNC	Infección SNC	CNS infection	Others	Hospital Universitario La Paz	A. baumannii	A. baumannii	group1		0
1933	ab01933	GCA_002119285.1_ASM211928v1	428								Hospital Universitario La Paz	2008	Spain:Madrid	40.480549742407064 N 3.68685320019722 W	Homo sapiens			cerebrospinal fluid	Paraventricular brain haemorrhage			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA339429	https://www.ncbi.nlm.nih.gov/pubmed/?term=28438568	135158	NO		Illumina HiSeq	38.9850481071922	3786544	64	Spain	Madrid					3593	cerebrospinal fluid	Infección SNC	Infección SNC	CNS infection	Others	Hospital Universitario La Paz	A. baumannii	A. baumannii	group1		1
1934	ab01934	GCA_002119295.1_ASM211929v1	314								Hospital Universitario La Paz	2008	Spain:Madrid	40.480549742407064 N 3.68685320019722 W	Homo sapiens			cerebrospinal fluid	Paraventricular brain haemorrhage			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA339434	https://www.ncbi.nlm.nih.gov/pubmed/?term=28438568	163942	NO		Illumina HiSeq	38.9820229151124	3782482	55	Spain	Madrid					3590	cerebrospinal fluid	Infección SNC	Infección SNC	CNS infection	Others	Hospital Universitario La Paz	A. baumannii	A. baumannii	group1		0
1935	ab01935	GCA_002119355.1_ASM211935v1	440								Hospital Universitario La Paz	2010	Spain:Madrid	40.480549742407064 N 3.68685320019722 W	Homo sapiens			blood	Bacteremia			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA339399	https://www.ncbi.nlm.nih.gov/pubmed/?term=28438568	6078	NO		Illumina HiSeq	39.0118606037942	3957640	54	Spain	Madrid					3736	blood	Bacteriemia	Bacteriemia	Bacteremia	Blood	Hospital Universitario La Paz	A. baumannii	A. baumannii	group1	csy4(cas6f);csy3(cas7);csy2(cas5);BMY_2099(cas8f);cas3(cas2_3);cas1	4
1936	ab01936	GCA_002136595.1_ASM213659v1	PR304																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA384060		242317	NO		Illumina NextSeq 500	38.9747531921042	3847932	90							3632		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group1		3
1937	ab01937	GCA_002136605.1_ASM213660v1	PR306																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA384060		440052	NO		Illumina NextSeq 500	38.9149803588012	3983209	64							3781		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group1		4
1938	ab01938	GCA_002136615.1_ASM213661v1	PR305																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA384060		178753	NO		Illumina NextSeq 500	39.0176015905703	3995548	139							3820		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group2		1
1939	ab01939	GCA_002136655.1_ASM213665v1	PR307																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA384060		463096	NO		Illumina NextSeq 500	39.1417318114058	3969878	58							3698		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group1	cas1;csy4(cas6f);unknown758(cas7);csy2(cas5);unknown1336;unknown4127;unknown4127;cas3(cas2_3)	7
1940	ab01940	GCA_002136675.1_ASM213667v1	PR308																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA384060		526698	NO		Illumina NextSeq 500	39.0441151430838	3964285	41							3688		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group1		6
1941	ab01941	GCA_002136685.1_ASM213668v1	PR310																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA384060		463415	NO		Illumina NextSeq 500	38.9246046958894	3735352	36							3445		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group1		4
1942	ab01942	GCA_002136705.1_ASM213670v1	PR309																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA384060		364361	NO		Illumina NextSeq 500	38.8858195449511	3873430	70							3660		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group2		2
1943	ab01943	GCA_002136735.1_ASM213673v1	PR311																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA384060		593081	NO		Illumina NextSeq 500	38.9347011858961	3790467	30							3540		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group1		4
1944	ab01944	GCA_002136745.1_ASM213674v1	PR312																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA384060		364527	NO		Illumina NextSeq 500	38.9480309816014	4052857	92							3853		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group2		1
1945	ab01945	GCA_002136775.1_ASM213677v1	PR351																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA384060		364527	NO		Illumina NextSeq 500	38.9152724110328	4047560	73							3836		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group2		1
1946	ab01946	GCA_002136815.1_ASM213681v1	PR352																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA384060		223733	NO		Illumina NextSeq 500	38.9649398743575	3683786	101							3454		Desconocido	Desconocido		Others		no_baumannii	no_baumannii			
1947	ab01947	GCA_002136825.1_ASM213682v1	PR353																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA384060		209485	NO		Illumina NextSeq 500	39.0775427348764	3983339	123							3781		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group2		1
1948	ab01948	GCA_002136855.1_ASM213685v1	PR355																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA384060		723589	NO		Illumina NextSeq 500	39.0252589897602	4006336	32							3744		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group1		4
1949	ab01949	GCA_002136865.1_ASM213686v1	PR354																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA384060		167877	NO		Illumina NextSeq 500	39.0566416704391	4844331	1844							4370		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group1		1
1950	ab01950	GCA_002136885.1_ASM213688v1	PR357																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA384060		209262	NO		Illumina NextSeq 500	38.9521357415369	3996949	117							3824		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group2		1
1951	ab01951	GCA_002136895.1_ASM213689v1	PR356																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA384060		488057	NO		Illumina NextSeq 500	38.8564016146719	3789005	37							3550		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group1		4
1952	ab01952	GCA_002136935.1_ASM213693v1	PR358																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA384060		364361	NO	97	Illumina NextSeq 500	38.9561284862775	4088530	88							3899		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group2		2
1953	ab01953	GCA_002136955.1_ASM213695v1	PR360																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA384060		326108	NO		Illumina NextSeq 500	38.7672046624903	3964405	75							3737		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group1		2
1954	ab01954	GCA_002136965.1_ASM213696v1	PR359																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA384060		342106	NO		Illumina NextSeq 500	38.9351477504131	4067569	75							3860		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group2		1
1955	ab01955	GCA_002136995.1_ASM213699v1	PR361																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA384060		437487	NO		Illumina NextSeq 500	39.0964103882401	3874458	68							3639		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group1		4
1956	ab01956	GCA_002137035.1_ASM213703v1	PR363																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA384060		290823	NO		Illumina NextSeq 500	38.8966824920752	3843608	113							3623		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group2		1
1957	ab01957	GCA_002137045.1_ASM213704v1	PR364																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA384060		364365	NO		Illumina NextSeq 500	38.9329709479561	4084050	80							3869		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group2		1
1958	ab01958	GCA_002137185.1_ASM213718v1	PR371																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA384060		246315	NO		Illumina NextSeq 500	38.9205501280784	3875752	86							3611		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group1		4
1959	ab01959	GCA_002137215.1_ASM213721v1	PR373																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA384060		359166	NO		Illumina NextSeq 500	38.944467583095	3870388	48							3586		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group1	cas3(cas2_3)	3
1960	ab01960	GCA_002137225.1_ASM213722v1	PR372																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA384060		290731	NO		Illumina NextSeq 500	38.8777040459652	3882238	120							3650		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group2		1
1961	ab01961	GCA_002137255.1_ASM213725v1	PR374																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA384060		121137	NO		Illumina NextSeq 500	38.9468427378308	3914705	179							3674		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group1	csy4(cas6f);csy3(cas7);csy2(cas5);BMY_2099(cas8f);cas3(cas2_3);cas1;X(2319);cas9;X(746);cas1;csy4(cas6f);unknown758(cas7);csy2(cas5);unknown1336;unknown4127;cas3(cas2_3)	10
1962	ab01962	GCA_002137265.1_ASM213726v1	PR375																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA384060		90033	NO		Illumina NextSeq 500	38.9781751061389	3727899	227							3492		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group1	unknown2566(cas9);X(885);cas1;cas3(cas2_3);BMY_2099(cas8f);csy2(cas5);csy3(cas7);csy4(cas6f);X(2178);cas1;csy4(cas6f);unknown758(cas7);csy2(cas5);unknown1336;unknown4127;cas3(cas2_3)	6
1963	ab01963	GCA_002137285.1_ASM213728v1	PR376																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA384060		364361	NO		Illumina NextSeq 500	38.9381876598466	4051149	71							3840		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group2		0
1964	ab01964	GCA_002137295.1_ASM213729v1	PR377																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA384060		237810	NO		Illumina NextSeq 500	38.9831325205932	4046722	115							3838		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group2		1
1965	ab01965	GCA_002137335.1_ASM213733v1	PR379																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA384060		404536	NO		Illumina NextSeq 500	38.8915223482308	3997699	87							3783		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group1		4
1966	ab01966	GCA_002137345.1_ASM213734v1	PR380																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA384060		364361	NO		Illumina NextSeq 500	38.9279280330403	4028293	79							3812		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group2		1
1967	ab01967	GCA_002137395.1_ASM213739v1	PR381																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA384060		250180	NO		Illumina NextSeq 500	38.9581453111134	3977810	142							3726		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group2		1
1968	ab01968	GCA_002137425.1_ASM213742v1	PR319																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA384060		424570	NO		Illumina NextSeq 500	38.8656229150868	3906038	110							3696		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group2		0
1969	ab01969	GCA_002137445.1_ASM213744v1	PR321																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA384060		364364	NO		Illumina NextSeq 500	38.8497138485143	3876618	85							3654		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group2		1
1970	ab01970	GCA_002137475.1_ASM213747v1	PR322																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA384060		172034	NO		Illumina NextSeq 500	39.0745750904877	3964903	150							3749		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group2		0
1971	ab01971	GCA_002137495.1_ASM213749v1	PR323																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA384060		140269	NO		Illumina NextSeq 500	39.0272963683823	4114943	148							3911		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group1	cas3(cas2_3);unknown1336;csy2(cas5);unknown758(cas7);csy4(cas6f);cas1	5
1972	ab01972	GCA_002137525.1_ASM213752v1	PR325																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA384060		364527	NO		Illumina NextSeq 500	38.8606717486852	3977291	85							3776		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group2		1
1973	ab01973	GCA_002137555.1_ASM213755v1	PR327																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA384060		158228	NO		Illumina NextSeq 500	39.0007111656957	4058126	150							3873		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group2		1
1974	ab01974	GCA_002137565.1_ASM213756v1	PR328																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA384060		290731	NO		Illumina NextSeq 500	38.8759808977205	3877443	111							3638		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group2		1
1975	ab01975	GCA_002137575.1_ASM213757v1	PR329																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA384060		129435	NO		Illumina NextSeq 500	39.1250818956104	3663200	191							3505		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group1		2
1976	ab01976	GCA_002137645.1_ASM213764v1	PR333																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA384060		359808	NO		Illumina NextSeq 500	38.8768686723735	3783903	46							3507		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group1	cas3(cas2_3)	3
1977	ab01977	GCA_002137655.1_ASM213765v1	PR332																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA384060		486247	NO		Illumina NextSeq 500	38.8830931749827	4047052	64							3836		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group1	csy4(cas6f);csy3(cas7);csy2(cas5);BMY_2099(cas8f);cas3(cas2_3);cas1	6
1978	ab01978	GCA_002137695.1_ASM213769v1	PR334																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA384060		206629	NO		Illumina NextSeq 500	39.0060092908191	4017945	129							3839		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group2		1
1979	ab01979	GCA_002137715.1_ASM213771v1	PR335																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA384060		290823	NO		Illumina NextSeq 500	38.8933588415548	3842944	113							3619		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group2		1
1980	ab01980	GCA_002137725.1_ASM213772v1	PR337																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA384060		550884	NO		Illumina NextSeq 500	38.809456109696	4237895	61							3946		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group1	cas1;cas3(cas2_3);BMY_2099(cas8f);csy2(cas5);csy3(cas7);csy4(cas6f)	4
1981	ab01981	GCA_002137755.1_ASM213775v1	PR340																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA384060		403076	NO		Illumina NextSeq 500	38.9580072761186	3821543	49							3590		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group1	t4544(cas3)	3
1982	ab01982	GCA_002137775.1_ASM213777v1	PR343																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA384060		264022	NO		Illumina NextSeq 500	38.9193156855825	3726065	65							3449		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group1		4
1983	ab01983	GCA_002137795.1_ASM213779v1	PR341																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA384060		364527	NO		Illumina NextSeq 500	39.0014070612606	4161155	94							3966		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group2		1
1984	ab01984	GCA_002137815.1_ASM213781v1	PR345																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA384060		364361	NO		Illumina NextSeq 500	38.915811017916	4084620	83							3866		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group2		2
1985	ab01985	GCA_002137875.1_ASM213787v1	PR349																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA384060		364527	NO		Illumina NextSeq 500	38.9551930267917	4087645	90							3899		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group2		2
1986	ab01986	GCA_002137895.1_ASM213789v1	PR347																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA384060		250378	NO		Illumina NextSeq 500	38.9915705754912	3940008	114							3691		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group2		1
1987	ab01987	GCA_002137945.1_ASM213794v1	PR350																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA384060		211778	NO		Illumina NextSeq 500	39.183761702638	4135606	196							4002		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group1		1
1988	ab01988	GCA_002137955.1_ASM213795v1	PR315																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA384060		408620	NO		Illumina NextSeq 500	38.9997780315614	3914971	58							3642		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group1	cas1;csy4(cas6f);unknown758(cas7);csy2(cas5);unknown1336;unknown4127;unknown4127;cas3(cas2_3)	8
1989	ab01989	GCA_002137995.1_ASM213799v1	PR317																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA384060		290731	NO		Illumina NextSeq 500	38.8696204310013	3822309	113							3572		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group2		1
1990	ab01990	GCA_002138005.1_ASM213800v1	PR382																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA384060		364361	NO	170	Illumina NextSeq 500	38.9464440265208	3861418	70							3636		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group2		1
1991	ab01991	GCA_002138035.1_ASM213803v1	PR383																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA384060		207006	NO		Illumina NextSeq 500	39.010944864242	4020059	124							3843		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group2		1
1992	ab01992	GCA_002138055.1_ASM213805v1	PR384																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA384060		168172	NO		Illumina NextSeq 500	39.0104140861922	4056909	177							3828		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group1		2
1993	ab01993	GCA_002138065.1_ASM213806v1	PR385																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA384060		255717	NO		Illumina NextSeq 500	38.9168632716477	3881726	79							3614		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group1		4
1994	ab01994	GCA_002138105.1_ASM213810v1	PR388																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA384060		380561	NO		Illumina NextSeq 500	38.818149637988	4178177	54							3932		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group1	cas1;cas3(cas2_3);BMY_2099(cas8f);csy2(cas5);csy3(cas7);csy4(cas6f)	3
1995	ab01995	GCA_002138115.1_ASM213811v1	PR387																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA384060		364361	NO		Illumina NextSeq 500	38.9008554704206	4082666	74							3866		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group2		2
1996	ab01996	GCA_002138155.1_ASM213815v1	PR389																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA384060		371841	NO		Illumina NextSeq 500	38.9383358390244	3890477	50							3631		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group1	cas3(cas2_3)	3
1997	ab01997	GCA_002138165.1_ASM213816v1	PR390																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA384060		178603	NO		Illumina NextSeq 500	38.9900607896892	4005449	131							3835		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group2		1
1998	ab01998	GCA_002138175.1_ASM213817v1	PR391																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA384060		895728	NO		Illumina NextSeq 500	38.8436662047331	3760281	31							3486		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group1		4
1999	ab01999	GCA_002138215.1_ASM213821v1	PR392																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA384060		364527	NO		Illumina NextSeq 500	38.8468767183576	3880886	68							3663		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group2		1
2000	ab02000	GCA_002138245.1_ASM213824v1	PR394																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA384060		206674	NO		Illumina NextSeq 500	39.0014845349728	4013378	121							3834		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group2		1
